available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,1359860,17472,14804,461,16,0,4,0,20400,15,0,0,30,104.526,22.4444,9,27.8065,31
100,100,1359860,16744,14796,456,16,0,4,0,20400,15,0,0,30,104.525,22.2857,7,27.7647,34
100,100,1359860,16744,14788,426,29,0,6,0,32656,15,0,0,30,104.437,22.3,10,27.75,64
100,100,1223874,15548,13364,396,16,0,4,0,20400,15,0,0,30,104.528,22.5,8,27.625,32
100,100,1359860,17264,14820,438,24,0,8,0,41952,15,0,0,30,104.49,22.5333,15,26.0816,49
100,100,1359860,16588,14800,444,34,0,8,0,44784,15,0,0,30,104.489,22.3182,22,26.625,80
100,100,1359860,16796,14796,441,12,0,4,0,19376,15,0,0,30,0,0,7,27.6,10
100,100,1223874,14924,13344,393,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,16380,14776,456,6,0,3,0,16264,15,0,0,0,104.529,22.5,8,27.3333,6
100,100,1359860,16588,14824,444,18,0,4,0,20400,15,0,0,30,104.527,22.5,8,25.4054,37
100,100,1359860,16848,14976,479,17,0,5,0,26344,15,0,0,30,104.206,22,10,27.7576,33
100,100,1312492,15496,14256,390,22,0,4,0,21552,15,0,0,30,104.424,22.3333,9,27.7759,58
100,100,1271242,16432,13860,466,17,0,4,0,19376,15,0,0,30,0,0,6,26.1667,36
100,100,1359860,17212,14792,462,32,0,8,0,45936,15,0,0,30,104.437,22.3125,16,27.8308,65
100,100,1359860,16848,14804,426,0,0,1,0,4136,15,0,0,0,104.518,22,3,0,0
100,100,1339528,16016,14544,423,10,0,1,0,4136,15,0,0,30,104.521,22,3,27.7143,28
100,100,1244206,15860,13572,442,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17420,14808,451,16,0,4,0,20400,15,0,0,30,104.534,22.8571,7,27.6364,33
100,100,1359860,16484,14784,420,16,0,4,0,20400,15,0,0,30,104.527,22.5,8,27.7222,36
100,100,1359860,16120,14784,426,29,0,6,0,34336,15,0,0,30,104.538,22.3529,17,27.7231,65
100,100,1223874,15080,13308,414,16,0,4,0,21552,15,0,0,30,104.478,22.1429,7,27.8667,30
100,100,1359860,16484,14768,480,32,0,8,0,40800,15,0,0,30,104.526,22.375,16,27.831,71
100,100,1359860,17160,14796,456,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17472,14884,485,16,0,5,0,28392,15,0,0,30,104.541,23.2,10,27.75,32
100,100,1312492,15600,13488,438,0,0,0,0,0,15,0,0,0,0,0,0,28,5
100,100,1271242,17004,14592,432,9,0,4,0,20400,15,0,0,30,104.53,22.4444,9,27.6667,12
100,100,1359860,17160,14792,444,16,0,4,0,19376,15,0,0,30,104.528,22,10,27.8125,32
100,100,1359860,17472,14780,453,22,0,7,0,35640,15,0,0,30,104.53,22.3077,13,27.6842,38
100,100,1312492,15704,14256,408,26,0,4,0,21552,15,0,0,30,104.466,22.1818,11,27.75,56
100,100,1271242,17368,13824,440,16,0,5,0,24536,15,0,0,30,104.525,22.1818,11,27.8125,32
100,100,1359860,16796,14804,441,33,0,8,0,40800,15,0,0,30,104.527,22.4286,14,26.597,67
100,100,1359860,17732,14904,470,0,0,1,0,4136,15,0,0,0,0,0,1,0,0
100,100,1359860,16588,14804,442,13,0,2,0,13280,15,0,0,30,0,0,4,27.7647,34
100,100,1223874,15236,13324,405,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17264,14776,462,16,0,5,0,28392,15,0,0,30,0,0,8,27.75,32
100,100,1359860,16328,14900,444,17,1,5,0,28392,15,0,0,30,104.533,22.7273,11,27.7297,37
100,100,1359860,17472,14768,462,32,0,7,0,36664,15,0,0,30,104.531,22.6154,13,27.697,66
100,100,1223874,15028,13308,405,16,0,4,0,19376,15,0,0,30,104.532,22,9,27.85,40
100,100,1359860,16848,14768,483,32,0,9,0,48792,15,0,0,30,104.53,22.7,20,27.7879,66
100,100,1359860,16692,14816,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,1359860,17056,14812,444,16,0,4,0,20400,15,0,0,30,0,0,6,27.8621,29
100,100,1312492,15600,13692,408,0,0,0,0,0,15,0,0,0,0,0,0,28,8
100,100,1271242,17368,14380,456,16,0,4,0,21552,15,0,0,30,104.433,22.3,10,27.6875,32
100,100,1359860,17628,14792,452,16,0,4,0,21552,15,0,0,30,104.411,22.375,8,27.8293,41
100,100,1359860,16848,14808,429,24,0,8,0,40800,15,0,0,30,104.531,22.625,16,27.1915,47
100,100,1312492,14664,14272,402,26,0,4,0,20400,15,0,0,30,104.525,22.2222,9,27.8846,52
100,100,1271242,17264,13812,458,19,0,6,0,29824,15,0,0,30,104.448,22.25,12,27.7838,37
100,100,1359860,16640,14812,474,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,16952,14784,418,6,0,3,0,16264,15,0,0,0,104.532,22.75,8,27.7333,15
100,100,1359860,16900,14792,466,16,0,3,0,18120,15,0,0,30,104.535,22.6,5,27.7143,35
100,100,1223874,15600,13316,423,0,0,1,0,4136,15,0,0,0,104.52,22,3,0,0
100,100,1359860,17160,14848,448,16,0,4,0,19376,15,0,0,30,104.526,22,11,27.7297,37
100,100,1359860,16640,14852,417,16,0,4,0,19376,15,0,0,30,104.526,22,11,27.7368,38
100,100,1359860,17108,14784,436,32,0,7,0,36664,15,0,0,30,104.528,22.4706,17,27.7101,69
100,100,1223874,14924,13332,408,16,0,4,0,20400,15,0,0,30,104.535,22.75,8,27.8065,31
100,100,1359860,16900,14792,457,32,0,8,0,41952,15,0,0,30,104.474,22.4118,17,27.8182,66
100,100,1359860,16536,14764,450,0,0,0,0,0,15,0,0,0,0,0,0,0,0
100,100,1359860,17264,14804,465,16,0,4,0,20400,15,0,0,30,0,0,7,27.75,32
100,100,1312492,15340,14112,438,0,0,0,0,0,15,0,0,0,0,0,0,28,16
100,100,1271242,16380,13980,441,16,0,4,0,19376,15,0,0,30,0,0,6,27.7436,39
100,100,1359860,17056,14808,429,17,0,4,0,20400,15,0,0,30,104.53,22.5,8,27.641,39
