available_dl_prbs,available_ul_prbs,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,6662508,44408,70600,1076,56,0,9,0,28680,15,0,0,30,104.409,21.3889,18,27.7739,115,6662508,42692,71408,1015,56,0,10,0,33184,15,0,0,30,104.446,21.6364,22,27.8947,114
100,100,6527918,43888,71088,1063,80,0,15,0,47640,15,0,0,30,104.475,22.1515,33,27.6848,165,6528134,41392,71364,965,75,0,13,0,47016,15,0,0,30,104.488,21.6923,26,27.8535,157
100,100,6662292,45352,70200,1086,115,0,23,0,89912,15,0,0,30,104.477,21.9286,42,28,240,6663314,41704,71432,986,104,0,19,0,70280,15,0,0,30,104.488,21.6739,46,27.939,213
100,100,6664120,44980,71248,1062,110,0,23,0,67832,15,0,0,30,104.432,21.7442,43,27.8546,227,6663314,42536,71404,1021,105,0,22,0,68896,15,0,0,30,104.481,21.5,48,27.872,211
100,100,6663314,45084,71232,1107,133,0,22,0,81696,15,0,0,30,104.485,22.25,52,27.79,281,6663314,42744,72084,1022,129,1,26,0,76960,15,0,0,30,104.442,21.7091,55,27.8774,261
100,100,6663314,43264,70804,1074,147,0,31,0,102376,15,0,0,30,104.476,21.9231,65,27.6379,301,6663314,42016,71516,1014,142,1,29,0,93272,15,0,0,30,104.483,21.8167,60,27.9088,296
100,100,6662508,44824,70832,1060,16,0,2,0,8272,15,0,0,0,0,0,2,27.9722,36,6662508,43576,71260,1090,15,0,3,0,9016,15,0,0,0,0,0,4,27.9394,33
100,100,6528134,45864,71088,1109,37,0,7,0,28056,15,0,0,30,104.434,22.375,16,27.8281,64,6528134,43368,71188,1086,30,0,7,0,24968,15,0,0,30,104.448,21.8667,15,27.9333,60
100,100,6663314,44512,70804,1075,49,0,9,0,31912,15,0,0,30,104.51,22.4286,21,27.7807,114,6663314,43056,71752,1031,48,0,10,0,36208,15,0,0,30,104.507,21.9,20,27.8878,98
100,100,6663314,46384,71268,1118,71,0,14,0,46272,15,0,0,30,104.431,21.6087,23,27.8667,150,6663314,43524,72044,1074,70,0,10,0,33712,15,0,0,30,0,0,13,27.9058,138
100,100,6663314,43316,70752,1036,95,0,16,0,56864,15,0,0,30,104.51,21.9487,39,27.7562,242,6663314,42744,72072,1003,89,3,18,0,61904,15,0,0,30,104.456,21.7021,47,27.8763,186
100,100,6663314,44408,70976,1082,108,0,21,0,66648,15,0,0,30,104.463,22.05,40,27.7067,208,6663314,43316,71520,1062,103,0,20,0,64208,15,0,0,30,104.495,21.8158,38,27.9302,215
100,100,6663314,44616,70656,1048,128,0,25,0,88728,15,0,0,30,104.421,21.7674,43,27.7708,253,6663314,41860,71208,1011,120,0,23,0,82120,15,0,0,30,104.498,21.9423,52,27.9194,248
100,100,6527328,43472,71152,1025,142,0,29,0,98072,15,0,0,30,104.395,21.6308,65,27.7555,319,6527328,41912,71484,1090,134,1,27,0,100872,15,0,0,30,104.469,22,59,27.8862,325
100,100,6663314,45188,71172,1131,14,0,1,0,4136,15,0,0,0,104.52,22,3,27.8182,33,6663314,43784,71756,1095,15,0,1,0,4136,15,0,0,30,0,0,1,27.8571,21
100,100,6663314,45188,71160,1097,24,0,6,0,19280,15,0,0,30,104.456,21.9091,11,27.8154,65,6663314,44252,71948,1092,29,0,4,0,14272,15,0,0,30,104.507,22.6,10,27.9464,56
100,100,6663314,47320,70440,1176,47,0,11,0,35352,15,0,0,30,104.481,21.8571,28,26.875,96,6663314,43160,71136,1062,41,0,9,0,29016,15,0,0,30,104.432,21.3182,22,27.869,84
100,100,6663314,46072,70852,1163,64,0,13,0,43752,15,0,0,30,104.492,22.3,30,27.7769,130,6663314,45240,72000,1130,64,1,10,0,39696,15,0,0,30,104.512,22.0833,24,27.8594,128
100,100,6545352,45188,70840,1138,81,0,18,0,62640,15,0,0,30,104.463,21.6591,44,27.7831,189,6663314,44616,71436,1088,76,0,15,0,48680,15,0,0,30,104.467,21.6774,31,27.8909,165
100,100,6645290,45656,71252,1135,106,0,21,0,65256,15,0,0,30,104.465,22.1739,46,27.7721,215,6527328,43264,71616,1121,97,1,24,0,84096,15,0,0,30,104.474,21.9231,39,27.8656,186
100,100,6663314,43784,71240,1105,122,0,23,0,74440,15,0,0,30,104.46,21.6316,57,27.7938,257,6663314,42848,71736,1047,118,2,20,0,84080,15,0,0,30,104.51,22.0698,43,27.8565,237
100,100,6663314,44512,70596,1071,140,0,30,0,84464,15,0,0,30,104.448,20.6212,66,27.9441,286,6663314,41652,71860,1079,136,1,28,0,88144,15,0,0,30,104.443,21.4694,49,27.8691,275
100,100,6663314,45448,70880,1134,3,0,0,0,0,0,0,0,0,0,0,0,28,9,6663314,41912,71564,1053,6,0,0,0,0,0,0,0,0,0,0,0,28,15
